# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.uncachedFileAccess,1776545562413000000,1776545622425000000,1114
StorageLockContext.competingThreads.avg,1776545562413000000,1776545622425000000,0.0
DirectByteBufferAllocator.disposed,1776545562413000000,1776545622425000000,0
FilePageCache.pageHits,1776545562413000000,1776545622425000000,0
StreamlinedBlobStorage.recordsAllocated,1776545562413000000,1776545622425000000,7797
FilePageCache.pageLoadsAboveSizeThreshold,1776545562413000000,1776545622425000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776545562413000000,1776545622425000000,573175
FilePageCache.pageLoads,1776545562413000000,1776545622425000000,574
FilePageCache.maxCacheSizeInBytes,1776545562413000000,1776545622425000000,306216960
FilePageCache.maxRegisteredFiles,1776545562413000000,1776545622425000000,786
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776545562413000000,1776545622425000000,13631488
DirectByteBufferAllocator.reclaimed,1776545562413000000,1776545622425000000,300
StreamlinedBlobStorage.recordsDeleted,1776545562413000000,1776545622425000000,18
DirectByteBufferAllocator.misses,1776545562413000000,1776545622425000000,287
FilePageCache.pageFastCacheHits,1776545562413000000,1776545622425000000,78685
StorageLockContext.competingThreads.max,1776545562413000000,1776545622425000000,0
StreamlinedBlobStorage.recordsRelocated,1776545562413000000,1776545622425000000,0
FilePageCache.totalPageDisposalsUs,1776545562413000000,1776545622425000000,503
FilePageCache.totalPageLoadsUs,1776545562413000000,1776545622425000000,500612
StorageLockContext.competingThreads.90P,1776545562413000000,1776545622425000000,0
FilePageCache.disposedBuffers,1776545562413000000,1776545622425000000,300
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776545562413000000,1776545622425000000,306216960
FilePageCache.capacityInBytes,1776545562413000000,1776545622425000000,524288000
DirectByteBufferAllocator.hits,1776545562413000000,1776545622425000000,287
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776545562413000000,1776545622425000000,167591
AWTEventQueue.dispatchTimeMaxNs,1776545562413000000,1776545622425000000,1002438655
FlushQueue.queueSizeMax,1776545562413000000,1776545622425000000,92
AWTEventQueue.dispatchTimeAvgNs,1776545562413000000,1776545622425000000,991719.9085090362
FlushQueue.queueSize90P,1776545562413000000,1776545622425000000,23
AWTEventQueue.eventsDispatched,1776545562413000000,1776545622425000000,10624
NonBlockingReadAction.finalizedExecutionsCount,1776545562413000000,1776545622425000000,37
FlushQueue.waitingTimeMaxNs,1776545562413000000,1776545622425000000,998244351
AWTEventQueue.dispatchTime90PNs,1776545562413000000,1776545622425000000,598015
FlushQueue.executionTimeMaxNs,1776545562413000000,1776545622425000000,624951295
FlushQueue.queueSizeAvg,1776545562413000000,1776545622425000000,6.232678983833718
NonBlockingReadAction.finalizedExecutionTimeUs,1776545562413000000,1776545622425000000,972324
FlushQueue.executionTimeAvgNs,1776545562413000000,1776545622425000000,1297815.6056581987
