# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageHits,1776548330973000000,1776548390981000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776548330973000000,1776548390981000000,273711104
StreamlinedBlobStorage.recordsRelocated,1776548330973000000,1776548390981000000,0
FilePageCache.disposedBuffers,1776548330973000000,1776548390981000000,18
FilePageCache.maxRegisteredFiles,1776548330973000000,1776548390981000000,651
DirectByteBufferAllocator.reclaimed,1776548330973000000,1776548390981000000,18
FilePageCache.pageFastCacheHits,1776548330973000000,1776548390981000000,22386
DirectByteBufferAllocator.disposed,1776548330973000000,1776548390981000000,0
StorageLockContext.competingThreads.avg,1776548330973000000,1776548390981000000,0.0
StreamlinedBlobStorage.recordsDeleted,1776548330973000000,1776548390981000000,0
StorageLockContext.competingThreads.90P,1776548330973000000,1776548390981000000,0
StreamlinedBlobStorage.recordsAllocated,1776548330973000000,1776548390981000000,5149
FilePageCache.pageLoadsAboveSizeThreshold,1776548330973000000,1776548390981000000,0
FilePageCache.totalPageLoadsUs,1776548330973000000,1776548390981000000,160258
StorageLockContext.competingThreads.max,1776548330973000000,1776548390981000000,0
FilePageCache.uncachedFileAccess,1776548330973000000,1776548390981000000,164
DirectByteBufferAllocator.misses,1776548330973000000,1776548390981000000,256
FilePageCache.totalPageDisposalsUs,1776548330973000000,1776548390981000000,441
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776548330973000000,1776548390981000000,364335
FilePageCache.maxCacheSizeInBytes,1776548330973000000,1776548390981000000,273711104
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776548330973000000,1776548390981000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776548330973000000,1776548390981000000,101451
FilePageCache.capacityInBytes,1776548330973000000,1776548390981000000,524288000
DirectByteBufferAllocator.hits,1776548330973000000,1776548390981000000,18
FilePageCache.pageLoads,1776548330973000000,1776548390981000000,274
FileNameCache.totalMisses,1776548330973000000,1776548390981000000,3768
FileNameCache.queries,1776548330973000000,1776548390981000000,255670
FileNameCache.fastMisses,1776548330973000000,1776548390981000000,13466
JVM.threadCount,1776548330973000000,1776548390981000000,132
JVM.maxHeapBytes,1776548330973000000,1776548390981000000,2147483648
JVM.usedNativeBytes,1776548330973000000,1776548390981000000,337473536
JVM.usedHeapBytes,1776548330973000000,1776548390981000000,279914080
JVM.GC.collectionTimesMs,1776548330973000000,1776548390981000000,126
JVM.totalCpuTimeMs,1776548330973000000,1776548390981000000,29563
OS.loadAverage,1776548330973000000,1776548390981000000,20.04736328125
JVM.GC.collections,1776548330973000000,1776548390981000000,22
JVM.maxNativeBytes,1776548330973000000,1776548390981000000,-1
FlushQueue.executionTime90PNs,1776548330973000000,1776548390981000000,401407
FlushQueue.waitingTime90PNs,1776548330973000000,1776548390981000000,276824063
AWTEventQueue.dispatchTime90PNs,1776548330973000000,1776548390981000000,387071
AWTEventQueue.dispatchTimeTotalNS,1776548330973000000,1776548390981000000,6630445464
FlushQueue.executionTimeMaxNs,1776548330973000000,1776548390981000000,494927871
FlushQueue.queueSizeAvg,1776548330973000000,1776548390981000000,17.616597822005257
NonBlockingReadAction.finalizedExecutionTimeUs,1776548330973000000,1776548390981000000,1518702
FlushQueue.waitingTimeMaxNs,1776548330973000000,1776548390981000000,1019215871
FlushQueue.queueSize90P,1776548330973000000,1776548390981000000,68
FlushQueue.waitingTimeAvgNs,1776548330973000000,1776548390981000000,8.42364392850169E7
